DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
DEBUG   | embedding.py | concat genealogy index: 0
INFO    | mcmc.py      | ([100000. 200000. 300000.]) loglik 456223.217.
INFO    | mcmc.py      | starting MCMC sampler for 10000 samples.
INFO    | mcmc.py      | iter	sample	loglik   	params               	accept	runtime	cat
DEBUG   | mcmc.py      | loglik=457747.0/457691.3, aratio=0.00, params=[490108 492644 538637], False
DEBUG   | mcmc.py      | loglik=457680.9/457691.3, aratio=1.00, params=[509202 511542 480906], True
INFO    | mcmc.py      |    0	   0	457680.927	[509202 511542 480906]	0.50	0:00:09	burnin
DEBUG   | mcmc.py      | loglik=457672.8/457680.9, aratio=1.00, params=[506036 505094 483821], True
DEBUG   | mcmc.py      | loglik=457735.7/457672.8, aratio=0.00, params=[517958 491672 513829], False
DEBUG   | mcmc.py      | loglik=457654.2/457672.8, aratio=1.00, params=[521356 491894 474467], True
DEBUG   | mcmc.py      | loglik=457748.7/457654.2, aratio=0.00, params=[499281 508453 520716], False
DEBUG   | mcmc.py      | loglik=457745.5/457654.2, aratio=0.00, params=[528904 488975 512924], False
DEBUG   | mcmc.py      | loglik=457635.6/457654.2, aratio=1.00, params=[525282 491997 463614], True
DEBUG   | mcmc.py      | loglik=457556.9/457635.6, aratio=1.00, params=[537545 448556 452509], True
DEBUG   | mcmc.py      | loglik=457693.5/457556.9, aratio=0.00, params=[546143 483789 482309], False
DEBUG   | mcmc.py      | loglik=457614.3/457556.9, aratio=0.00, params=[544826 423324 495407], False
DEBUG   | mcmc.py      | loglik=457521.7/457556.9, aratio=1.00, params=[530807 435775 450668], True
DEBUG   | mcmc.py      | loglik=457528.1/457521.7, aratio=0.00, params=[553706 421411 451647], False
DEBUG   | mcmc.py      | loglik=457492.4/457521.7, aratio=1.00, params=[531090 436882 436222], True
DEBUG   | mcmc.py      | loglik=457441.7/457492.4, aratio=1.00, params=[522468 407118 442711], True
DEBUG   | mcmc.py      | loglik=457393.5/457441.7, aratio=1.00, params=[517037 395946 433216], True
DEBUG   | mcmc.py      | loglik=457451.2/457393.5, aratio=0.00, params=[502675 423248 446386], False
DEBUG   | mcmc.py      | loglik=457367.7/457393.5, aratio=1.00, params=[520009 387177 426867], True
DEBUG   | mcmc.py      | loglik=457545.7/457367.7, aratio=0.00, params=[529539 417567 477984], False
DEBUG   | mcmc.py      | loglik=457372.8/457367.7, aratio=0.01, params=[515012 389169 430718], False
DEBUG   | mcmc.py      | loglik=457493.0/457367.7, aratio=0.00, params=[513804 403442 476121], False
DEBUG   | mcmc.py      | loglik=457286.2/457367.7, aratio=1.00, params=[513529 381509 397013], True
DEBUG   | mcmc.py      | loglik=457365.6/457286.2, aratio=0.00, params=[517754 379882 434051], False
DEBUG   | mcmc.py      | loglik=457368.8/457286.2, aratio=0.00, params=[518341 378534 436483], False
DEBUG   | mcmc.py      | loglik=457287.8/457286.2, aratio=0.20, params=[510494 358035 421801], False
DEBUG   | mcmc.py      | loglik=457319.4/457286.2, aratio=0.00, params=[508372 414671 388095], False
DEBUG   | mcmc.py      | loglik=457281.0/457286.2, aratio=1.00, params=[510717 388710 389982], True
DEBUG   | mcmc.py      | loglik=457442.7/457281.0, aratio=0.00, params=[519271 423335 431558], False
DEBUG   | mcmc.py      | loglik=457133.4/457281.0, aratio=1.00, params=[506940 334140 370590], True
DEBUG   | mcmc.py      | loglik=457059.5/457133.4, aratio=1.00, params=[504087 317276 351489], True
DEBUG   | mcmc.py      | loglik=457040.1/457059.5, aratio=1.00, params=[511960 310149 343815], True
DEBUG   | mcmc.py      | loglik=457049.2/457040.1, aratio=0.00, params=[514500 304444 353250], False
DEBUG   | mcmc.py      | loglik=457102.1/457040.1, aratio=0.00, params=[514506 350174 334658], False
DEBUG   | mcmc.py      | loglik=457124.3/457040.1, aratio=0.00, params=[526096 296035 395411], False
