INFO    | mcmc.py      | {'ntips': 2, 'root_height': 1000000.0, 'params': [200000.0, 200000.0, 400000.0], 'recomb': 2e-09, 'nsites': 1000000.0, 'nsamples': 4, 'seed': 666, 'name': 'combined-224', 'mcmc_nsamples': 10000, 'mcmc_sample_interval': 5, 'mcmc_print_interval': 50, 'mcmc_burnin': 500, 'threads': 75, 'force': True, 'mcmc_jumpsize': [20000.0, 20000.0, 40000.0], 'log_level': 'INFO', 'log_file': './combined-224.log', 'data_type': 'combined'}
INFO    | mcmc.py      |  850	   0	118941.610	[164821 168124 464482]	0.49	0:10:29	burnin
INFO    | mcmc.py      |  900	   0	118941.117	[158884 201882 375651]	0.49	0:10:58	burnin
INFO    | mcmc.py      |  950	   0	118941.649	[152571 209165 451083]	0.49	0:11:40	burnin
INFO    | mcmc.py      | 1000	   0	118941.743	[166793 180134 365640]	0.48	0:12:17	burnin
INFO    | mcmc.py      | ---------------------------------
INFO    | mcmc.py      | 1050	  10	118941.747	[147605 196082 465980]	0.48	0:12:50	sample
INFO    | mcmc.py      | 1100	  20	118941.099	[149089 207631 419096]	0.49	0:13:18	sample
INFO    | mcmc.py      | 1150	  30	118942.089	[203136 200510 395827]	0.49	0:13:49	sample
INFO    | mcmc.py      | 1200	  40	118942.680	[189602 141920 390616]	0.49	0:14:17	sample
INFO    | mcmc.py      | 1250	  50	118941.545	[137760 219155 405932]	0.49	0:14:54	sample
INFO    | mcmc.py      | 1300	  60	118942.271	[189575 167262 474184]	0.49	0:15:27	sample
INFO    | mcmc.py      | 1350	  70	118941.999	[185187 166992 471597]	0.49	0:16:00	sample
INFO    | mcmc.py      | 1400	  80	118945.823	[179889 121666 544837]	0.49	0:16:41	sample
INFO    | mcmc.py      | 1450	  90	118942.811	[225095 194084 327811]	0.49	0:17:20	sample
INFO    | mcmc.py      | 1500	 100	118942.590	[199542 216094 384638]	0.49	0:17:54	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[183712 186826 399397 118942]
INFO    | mcmc.py      | MCMC current posterior std =[30997 32419 51252     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[52, 39, 38, 20]

INFO    | mcmc.py      | 1550	 110	118941.173	[159463 202935 371303]	0.49	0:18:31	sample
INFO    | mcmc.py      | 1600	 120	118941.940	[172986 206310 332689]	0.49	0:19:09	sample
INFO    | mcmc.py      | 1650	 130	118940.945	[168515 211101 384133]	0.49	0:19:52	sample
INFO    | mcmc.py      | 1700	 140	118941.881	[170131 154413 454694]	0.49	0:20:27	sample
INFO    | mcmc.py      | 1750	 150	118941.314	[195317 197727 384836]	0.49	0:21:07	sample
INFO    | mcmc.py      | 1800	 160	118942.355	[149136 222409 458018]	0.49	0:21:40	sample
INFO    | mcmc.py      | 1850	 170	118942.447	[158221 167298 494750]	0.49	0:22:09	sample
INFO    | mcmc.py      | 1900	 180	118941.118	[190280 184683 416570]	0.49	0:22:39	sample
INFO    | mcmc.py      | 1950	 190	118941.890	[221636 155829 415938]	0.49	0:23:12	sample
INFO    | mcmc.py      | 2000	 200	118941.646	[183777 150187 438226]	0.49	0:23:57	sample
INFO    | mcmc.py      | checkpoint saved.
INFO    | mcmc.py      | MCMC current posterior mean=[183705 185087 401362 118942]
INFO    | mcmc.py      | MCMC current posterior std =[30929 31469 47650     1]
INFO    | mcmc.py      | MCMC current posterior ESS =[90, 103, 87, 120]

INFO    | mcmc.py      | 2050	 210	118944.180	[175616 229868 448108]	0.49	0:24:31	sample
